,preCloseIndex,openIndex,lowestIndex,highestIndex,turnoverVol,closeIndex,label,,,,,
0,1468.35999,1467.96997,1442.06995,1471.77002,3452650000,1447.16003,1390.18994,1390.25,1378.69995,1409.18994,5351030000,1409.13
1,1447.16003,1447.55005,1443.72998,1456.80005,3429500000,1447.16003,1409.13,1406.78003,1395.31006,1429.08997,5170490000,1420.32996
2,1447.16003,1444.01001,1411.18994,1444.01001,4166000000,1411.63,1420.32996,1419.91003,1394.82996,1419.91003,4495840000,1401.02002
3,1411.63,1414.06995,1403.44995,1423.87,4221260000,1416.18005,1401.02002,1402.91003,1402.91003,1417.89001,3682090000,1416.25
4,1416.18005,1415.70996,1388.30005,1430.28003,4705390000,1390.18994,1416.25,1411.88,1380.59998,1411.88,4601640000,1380.94995
5,1390.18994,1390.25,1378.69995,1409.18994,5351030000,1409.13,1380.94995,1377.41003,1364.27002,1391.98999,5440620000,1373.19995
6,1409.13,1406.78003,1395.31006,1429.08997,5170490000,1420.32996,1373.19995,1374.79004,1330.67004,1377.71997,5303130000,1333.25
7,1420.32996,1419.91003,1394.82996,1419.91003,4495840000,1401.02002,1333.25,1333.90002,1312.51001,1350.28003,6004840000,1325.18994
8,1401.02002,1402.91003,1402.91003,1417.89001,3682090000,1416.25,1325.18994,1312.93994,1274.29004,1322.08997,6544690000,1310.5
9,1416.25,1411.88,1380.59998,1411.88,4601640000,1380.94995,1310.5,1310.41003,1270.05005,1339.08997,3241680000,1338.59998
10,1380.94995,1377.41003,1364.27002,1391.98999,5440620000,1373.19995,1338.59998,1340.13,1334.31006,1355.15002,5735300000,1352.06995
11,1373.19995,1374.79004,1330.67004,1377.71997,5303130000,1333.25,1352.06995,1357.31995,1327.5,1368.56006,4882250000,1330.60999
12,1333.25,1333.90002,1312.51001,1350.28003,6004840000,1325.18994,1330.60999,1330.69995,1322.26001,1353.96997,4100930000,1353.95996
13,1325.18994,1312.93994,1274.29004,1322.08997,6544690000,1310.5,1353.95996,1355.93994,1350.18994,1364.93005,4232960000,1362.30005
14,1310.5,1310.41003,1270.05005,1339.08997,3241680000,1338.59998,1362.30005,1362.21997,1352.94995,1385.85999,4742760000,1355.81006
15,1338.59998,1340.13,1334.31006,1355.15002,5735300000,1352.06995,1355.81006,1351.97998,1334.07996,1385.62,4970290000,1378.55005
16,1352.06995,1357.31995,1327.5,1368.56006,4882250000,1330.60999,1378.55005,1378.59998,1375.93005,1396.02002,4650770000,1395.42004
17,1330.60999,1330.69995,1322.26001,1353.96997,4100930000,1353.95996,1395.42004,1395.38,1379.68994,1395.38,3495780000,1380.81995
18,1353.95996,1355.93994,1350.18994,1364.93005,4232960000,1362.30005,1380.81995,1380.28003,1336.64001,1380.28003,4315740000,1336.64001
19,1362.30005,1362.21997,1352.94995,1385.85999,4742760000,1355.81006,1336.64001,1339.47998,1324.33997,1351.95996,4008120000,1326.44995
20,1355.81006,1351.97998,1334.07996,1385.62,4970290000,1378.55005,1326.44995,1324.01001,1316.75,1347.16003,4589160000,1336.91003
21,1378.55005,1378.59998,1375.93005,1396.02002,4650770000,1395.42004,1336.91003,1336.88,1321.06006,1341.21997,3768490000,1331.29004
22,1395.42004,1395.38,1379.68994,1395.38,3495780000,1380.81995,1331.29004,1331.92004,1320.31995,1341.40002,3593140000,1339.13
23,1380.81995,1380.28003,1336.64001,1380.28003,4315740000,1336.64001,1339.13,1340.55005,1339.35999,1362.09998,4044640000,1348.85999
24,1336.64001,1339.47998,1324.33997,1351.95996,4008120000,1326.44995,1348.85999,1353.12,1350.78003,1369.22998,3856420000,1367.20996
25,1326.44995,1324.01001,1316.75,1347.16003,4589160000,1336.91003,1367.20996,1367.32996,1347.31006,1368.16003,3644760000,1348.85999
26,1336.91003,1336.88,1321.06006,1341.21997,3768490000,1331.29004,1348.85999,1347.52002,1338.13,1350,3583300000,1349.98999
27,1331.29004,1331.92004,1320.31995,1341.40002,3593140000,1339.13,1349.98999,1355.85999,1345.05005,1367.28003,3613550000,1348.78003
28,1339.13,1340.55005,1339.35999,1362.09998,4044640000,1348.85999,1348.78003,1348.39001,1336.55005,1363.70996,3870520000,1360.03003
29,1348.85999,1353.12,1350.78003,1369.22998,3856420000,1367.20996,1360.03003,1362.20996,1339.33997,1367.93994,3696660000,1342.53003
30,1367.20996,1367.32996,1347.31006,1368.16003,3644760000,1348.85999,1342.53003,1344.21997,1327.04004,1354.30005,3572660000,1353.10999
31,1348.85999,1347.52002,1338.13,1350,3583300000,1349.98999,1353.10999,1352.75,1346.03003,1374.35999,3866350000,1371.80005
32,1349.98999,1355.85999,1345.05005,1367.28003,3613550000,1348.78003,1371.80005,1371.76001,1363.29004,1387.33997,4096060000,1381.29004
33,1348.78003,1348.39001,1336.55005,1363.70996,3870520000,1360.03003,1381.29004,1378.94995,1372,1388.33997,3904700000,1380.02002
34,1360.03003,1362.20996,1339.33997,1367.93994,3696660000,1342.53003,1380.02002,1378.16003,1363.16003,1378.16003,3938580000,1367.68005
35,1342.53003,1344.21997,1327.04004,1354.30005,3572660000,1353.10999,1367.68005,1364.06995,1325.42004,1364.06995,4426730000,1330.63
36,1353.10999,1352.75,1346.03003,1374.35999,3866350000,1371.80005,1330.63,1330.44995,1320.04004,1335.13,4117570000,1331.33997
37,1371.80005,1371.76001,1363.29004,1387.33997,4096060000,1381.29004,1331.33997,1329.57996,1307.39001,1331.03003,4757180000,1326.75
38,1381.29004,1378.94995,1372,1388.33997,3904700000,1380.02002,1326.75,1327.68994,1320.21997,1344.18994,4277710000,1333.69995
39,1380.02002,1378.16003,1363.16003,1378.16003,3938580000,1367.68005,1333.69995,1332.19995,1303.42004,1332.19995,4323460000,1304.33997
40,1367.68005,1364.06995,1325.42004,1364.06995,4426730000,1330.63,1304.33997,1301.53003,1282.43005,1313.23999,4565410000,1293.37
41,1330.63,1330.44995,1320.04004,1335.13,4117570000,1331.33997,1293.37,1293.16003,1272.66003,1295.01001,4261240000,1273.37
42,1331.33997,1329.57996,1307.39001,1331.03003,4757180000,1326.75,1273.37,1274.40002,1274.40002,1320.65002,5109080000,1320.65002
43,1326.75,1327.68994,1320.21997,1344.18994,4277710000,1333.69995,1320.65002,1321.13,1307.85999,1333.26001,4414280000,1308.77002
44,1333.69995,1332.19995,1303.42004,1332.19995,4323460000,1304.33997,1308.77002,1305.26001,1282.10999,1321.68005,5073360000,1315.47998
45,1304.33997,1301.53003,1282.43005,1313.23999,4565410000,1293.37,1315.47998,1316.05005,1274.85999,1321.46997,5153780000,1288.14001
46,1293.37,1293.16003,1272.66003,1295.01001,4261240000,1273.37,1288.14001,1283.20996,1256.97998,1287.5,5683010000,1276.59998
47,1273.37,1274.40002,1274.40002,1320.65002,5109080000,1320.65002,1276.59998,1277.16003,1277.16003,1330.73999,5335630000,1330.73999
48,1320.65002,1321.13,1307.85999,1333.26001,4414280000,1308.77002,1330.73999,1330.96997,1298.42004,1341.51001,5358550000,1298.42004
49,1308.77002,1305.26001,1282.10999,1321.68005,5073360000,1315.47998,1298.42004,1299.67004,1295.21997,1330.67004,6145220000,1329.51001
