,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,label
0,112.44,116,111.875,116,10347200,118.5
1,113.31,114.5,110.875,112.063,8227800,119
2,112.26,119.75,112.125,116,12733100,119.5
3,117.29,118.938,113.5,115,7970900,118.25
4,116.54,117.938,110.625,113.5,11857200,119.625
5,116.54,119.375,115.375,118.5,8540400,116.5
6,117.16,121.125,116.625,119,7873400,121.875
7,118.9,122,118.25,119.5,6798200,121.875
8,119.21,121,115.75,118.25,8489700,121.5
9,120.21,123.313,117.5,119.625,10956600,121.5
10,118.97,119.75,115.563,116.5,7641900,119.125
11,114.87,121.875,112.688,121.875,8593700,116.75
12,122.26,124.75,120.313,121.875,17782400,113.5
13,121.14,123,119.938,121.5,7868700,111.563
14,121.14,122.875,116.563,121.5,6499200,112.25
15,116.05,119.5,116,119.125,6937600,110
16,118.34,119.938,116,116.75,4895100,113.5
17,117.29,118.438,111.625,113.5,8327600,117.125
18,112.07,114.188,110.063,111.563,6669500,115.625
19,110.7,112.813,109.625,112.25,6147500,114.125
20,111.7,113.438,109.125,110,7304700,118.813
21,111.32,115.813,110.375,113.5,7707700,117.375
22,114.31,117.5,114.063,117.125,6213800,119.125
23,117.47,118.438,114.813,115.625,5405800,115.375
24,115.3,116.875,113.125,114.125,5779500,116.063
25,116.23,119,116.188,118.813,5467300,117.125
26,118.28,119.75,117,117.375,5374700,115.75
27,116.98,119.125,116.875,119.125,4446600,116.75
28,118.34,119.438,114.563,115.375,5749400,112.625
29,115.3,116.75,114.5,116.063,4544000,111
30,115.18,117.438,113.875,117.125,5174500,108.75
31,115.8,117.313,115.25,115.75,3966900,110.813
32,115.8,118.875,115.75,116.75,5237500,105.75
33,114.55,115.938,111.5,112.625,7673100,104.813
34,111.32,113.438,108.75,111,7654700,102.75
35,109.83,110.5,108.5,108.75,7434700,100.25
36,108.81,111,108.188,110.813,9111700,103.25
37,109.21,109.875,104.938,105.75,10311000,109
38,103.99,106.5,103.938,104.813,8482100,103.063
39,104.93,105.563,100.938,102.75,10484800,102.75
40,101.38,105.5,100.063,100.25,10807800,106.125
41,99.89,105.438,99.5,103.25,11192400,107.563
42,106.6,110,106.063,109,10162300,105.25
43,109.27,111,101,103.063,10747400,107.688
44,105.36,107,101.688,102.75,10029400,108.625
45,103,106.875,102.75,106.125,8325600,107
46,105.86,107.625,104.125,107.563,6333900,109
47,106.98,109,105,105.25,7093200,110
48,103.37,109,102.5,107.688,7871000,112.75
49,107.75,110,107.375,108.625,7973700,113.5
50,106.85,108.25,106.125,107,5665900,114.25
51,108.34,109.813,106.75,109,6622500,115.25
52,108.25,111.688,107.625,110,8857300,121.5
53,110,113.375,109.938,112.75,6563500,126.875
54,112.13,114.688,111.938,113.5,6771600,122.5
55,114.5,115.375,113.875,114.25,6137800,119.5
56,115.18,115.875,111.625,115.25,6492400,122.5
57,115.37,122.25,115.063,121.5,12124300,118
58,125,128.25,124.625,126.875,11862900,122
59,124.99,127,122.063,122.5,8163000,121.188
60,121.57,122.438,118.5,119.5,7311200,123.625
61,118.87,123,118.688,122.5,9157800,122.75
62,121.88,123.75,117.063,118,8015000,123.125
63,120,122.375,119.438,122,7715600,122.125
64,120.77,126.938,115.063,121.188,16667700,119
65,119.77,125.875,119.75,123.625,8444800,113
66,122.75,128.125,122.625,122.75,8887400,110.625
67,122.75,125.688,121.5,123.125,5380300,105
68,124,125.375,121.563,122.125,5507300,111.875
69,120.89,121.625,117.75,119,7735900,112
70,118.9,119.625,111.688,113,8887400,105
71,111.82,114.313,110,110.625,8236400,104
72,109.15,112.75,102.875,105,11782000,106.5
73,103.87,112.25,103.313,111.875,9969500,112.75
74,111.57,115.125,110.063,112,8177400,110.5
75,109.09,109.75,102.813,105,14674400,110.438
76,104.37,105.25,102.063,104,10633300,111.5
77,101.38,107.188,101.25,106.5,8523100,111.875
78,106.5,113,106.438,112.75,9575800,111.375
79,111.82,113.938,109,110.5,6182800,108.125
80,108.84,113.125,108.688,110.438,6317100,107.625
81,111.32,112.688,110.125,111.5,4888600,107.875
82,111.82,113.188,110.438,111.875,4196000,109.75
83,111,113.625,110.688,111.375,4085000,110
84,109.83,111.125,106.563,108.125,5543800,103
85,108.47,109.188,107.188,107.625,3631300,104.438
86,106.62,109.625,106.438,107.875,4695100,104.438
87,108.06,110.375,107.625,109.75,4826900,104.188
88,109.83,110.625,108.25,110,4864400,109
89,104.86,105.688,102.063,103,10012700,107.875
90,103.37,107.5,103.188,104.438,8106200,106.063
91,103.75,105.75,103.25,104.438,5599700,106.813
92,103.37,104.875,102,104.188,5905400,109
93,105.12,109.25,105,109,7265800,107.375
94,106.85,108.875,106.125,107.875,5524500,109.625
95,105.48,107.313,104.688,106.063,4577200,106.5
96,105.42,107.5,105,106.813,6418800,106.938
97,105.36,109.25,103.438,109,6769100,110.938
98,108.34,110,107.125,107.375,5778900,107.313
99,105.86,110,104.188,109.625,8184200,105.938
100,109.83,112.25,106.375,106.5,5967600,108.438
101,104.86,107.188,104.563,106.938,4297000,112.438
102,107.75,111,107.688,110.938,3617500,112.375
103,107.313,107.313,107.313,107.313,3732500,121
104,106.91,108.938,105.5,105.938,5687300,119.75
105,108.34,110.75,107.625,108.438,5472200,119.688
106,108.44,114.188,108.438,112.438,7281300,118.875
107,111.57,114.625,111.25,112.375,5369400,119.313
108,111.82,121.75,111.5,121,11103800,116
109,118.65,122.313,117.5,119.75,9268300,116.875
110,119.15,120.75,118.875,119.688,4739100,113.75
111,119.12,120.438,118.875,118.875,3590000,120.125
112,118.16,119.938,116.75,119.313,4008400,116
113,118.16,120,115.5,116,5280100,114.5
114,116,119,115.875,116.875,5382500,111.5
115,115.61,117.688,113.25,113.75,7861800,111.875
116,113.5,120.125,113.25,120.125,6057600,114.406
117,119.28,120.688,115.375,116,7103600,109.75
118,114.87,115.938,113.5,114.5,6487000,110.344
119,113.44,114.313,111.25,111.5,4808800,114
120,112.82,113.625,110.813,111.875,3360900,109.563
121,113,115.75,112.875,114.406,3615900,109.5
122,110.95,112.813,108.75,109.75,6607900,104
123,110,115.188,109.875,110.344,6426700,101.75
124,111.08,114.5,110.063,114,7599500,104.688
125,112.01,113.188,108.625,109.563,8316100,103.125
126,108.75,109.875,108.313,109.5,2304400,102.375
127,104.99,105.625,101.125,104,14339000,104.625
128,104.37,105.125,100,101.75,12927900,102.938
129,102.07,104.938,101.625,104.688,9014000,103.938
