,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,label
0,26.715,27.21,26.62,27.01,69156990,27.21
1,27.025,27.3,27,27.01,59648790,27.56
2,27.015,27.21,26.81,26.9,58470810,27.64
3,26.95,27.2,26.92,27.02,53150250,27.74
4,27.03,27.39,27,27.23,54589290,27.56
5,27.3,27.541,27.21,27.21,62125520,27.25
6,27.67,27.73,27.44,27.56,57600860,27.29
7,27.605,27.8,27.47,27.64,45470030,27.13
8,27.88,27.941,27.64,27.74,41532100,27.2
9,27.66,27.72,27.37,27.56,51394520,27.07
10,27.615,27.72,27.23,27.25,47249380,26.84
11,27.235,27.44,27.2,27.29,39431980,27.22
12,27.29,27.32,27,27.13,42923460,27.03
13,27.1,27.2,26.97,27.2,32163220,27.03
14,27.085,27.2,27,27.07,28160050,27.15
15,27.03,27.05,26.73,26.84,35793160,27.11
16,26.94,27.5,26.82,27.22,55608720,27.11
17,27.105,27.19,26.96,27.03,45109150,27.1
18,27.05,27.19,26.7,27.03,45643840,27.25
19,27.1,27.3901,27,27.15,58525640,24.15
20,27.075,27.2501,26.98,27.11,42316720,24.29
21,27.115,27.21,27.02,27.11,49156230,24.01
22,27.085,27.23,27,27.1,39177620,23.17
23,26.99,27.63,26.94,27.25,93891620,23.44
24,24.38,24.5,24,24.15,590729100,23.8
25,24.325,25,24.09,24.29,174748200,23.73
26,24.49,25,23.9,24.01,190352400,23.62
27,23.38,24.02,23.15,23.17,211426200,23.77
28,23.35,23.67,23.14,23.44,171232900,23.22
29,23.665,23.9501,23.52,23.8,131228300,23.17
30,23.86,25,23.51,23.73,80691510,23.15
31,23.745,24,23.49,23.62,75325990,23.01
32,23.67,23.79,23.59,23.77,76562470,22.73
33,23.71,23.79,23.15,23.22,92655240,22.83
34,23.125,23.37,23.05,23.17,83107170,22.56
35,23.1,23.23,23.03,23.15,67313150,22.88
36,23.16,24,22.91,23.01,82093800,22.79
37,22.9,23.0801,22.73,22.73,98145650,23.5
38,22.84,23.14,22.76,22.83,95324620,23.74
39,22.79,22.9,22.52,22.56,100059000,23.72
40,22.48,23.02,22.45,22.88,87321170,23.15
41,23.105,23.3801,22.77,22.79,79965400,22.65
42,22.99,23.54,22.98,23.5,107345200,22.82
43,23.67,23.9201,23.54,23.74,83051770,22.76
44,23.77,23.88,23.56,23.72,46860560,22.5
45,23.555,23.76,23.14,23.15,52383530,22.13
46,23.26,23.35,22.65,22.65,119730500,22.04
47,22.74,22.84,22.62,22.82,80221750,22.11
48,22.87,22.99,22.67,22.76,73922970,21.92
49,22.72,22.73,22.49,22.5,63888610,21.71
50,22.55,22.56,21.98,22.13,126600300,21.51
51,22.15,22.39,22.01,22.04,73822980,21.88
52,22.03,22.21,21.97,22.11,104062200,22.07
53,22.145,22.19,21.89,21.92,52562220,22.1
54,21.96,22.1,21.7,21.71,74305710,22.55
55,21.735,22.03,21.4599,21.51,112810000,22.56
56,21.59,21.94,21.55,21.88,86063190,23.08
57,22.01,22.1301,21.8,22.07,121136600,22.88
58,21.975,22.28,21.79,22.1,147213200,22.5
59,22.145,22.6,22.12,22.55,129629200,22.82
60,22.54,22.7601,22.5,22.56,90284380,22.86
61,22.61,23.15,22.53,23.08,91095350,23.16
62,23.06,23.17,22.78,22.88,76643690,23.4702
63,22.85,22.87,22.5,22.5,60509180,23.3
64,22.65,22.89,22.63,22.82,47334710,23.7
65,22.89,23.16,22.84,22.86,84716150,23.35
66,22.93,23.25,22.91,23.16,71901260,23.48
67,23.32,23.63,23.22,23.4702,121353200,23.3
68,23.54,23.65,23.3,23.3,70659500,23.5
69,23.535,23.72,23.45,23.7,25711430,23.1
70,23.48,23.52,23.3,23.35,53081120,22.64
71,23.44,23.61,23.42,23.48,44773530,22.26
72,23.405,23.55,23.3,23.3,63168480,22.29
73,23.43,23.66,23.38,23.5,50564570,22.48
74,23.365,23.37,22.74,23.1,88661280,22.74
75,22.79,22.88,22.62,22.64,77374580,23.4
76,22.37,22.61,22.25,22.26,72858340,22.85
77,22.29,22.55,22.23,22.29,67492860,23.87
78,22.29,22.61,22.26,22.48,37052460,24
79,22.59,22.76,22.48,22.74,65046300,24.22
80,22.82,23.46,22.72,23.4,82184880,24.37
81,23.435,23.45,22.78,22.85,75380900,23.87
82,24.06,24.15,23,23.87,175436400,24.25
83,24.01,24.1101,23.79,24,59050800,24.06
84,24,24.29,23.9,24.22,60065570,23.99
85,24.115,24.53,24.1,24.37,54940410,24.3
86,24.585,24.6,23.77,23.87,85380080,24.21
87,24.08,24.28,24.06,24.25,51698790,24.29
88,24.07,24.42,24.01,24.06,40244370,24.22
89,24.02,24.2001,23.85,23.99,49016360,24.34
90,24.115,24.4001,24.03,24.3,46447010,24.44
91,24.185,24.48,24.15,24.21,43139940,24.46
92,24.405,24.4901,24.15,24.29,45687440,24.43
93,24.28,24.48,24.19,24.22,36868140,24.53
94,24.39,24.52,24.2,24.34,58131990,24.62
95,24.49,24.64,24.34,24.44,44318870,24.7
96,24.37,24.6,24.34,24.46,31750380,24.7
97,24.41,24.45,24.2,24.43,30255070,25.79
98,24.52,24.6,24.35,24.53,46618440,26.12
99,24.555,24.65,24.44,24.62,48992630,25.62
100,24.605,24.73,24.47,24.7,52293650,25.67
101,24.7,24.75,24.61,24.7,45320210,25.74
102,25.045,25.8,24.98,25.79,128409700,25.85
103,25.665,26.13,25.56,26.12,88396250,25.95
104,26.005,26.2501,25.62,25.62,88869590,25.84
105,25.645,25.95,25.52,25.67,44051090,25.8
106,25.815,25.86,25.5,25.74,35928450,25.7
107,25.71,26,25.69,25.85,32964430,25.84
108,25.84,26,25.69,25.95,34190950,25.61
109,25.915,25.98,25.63,25.84,42711170,25.61
110,25.85,25.89,25.64,25.8,30313070,25.43
111,25.87,25.98,25.68,25.7,26313400,25.6
112,25.89,25.97,25.64,25.84,31592400,25.91
113,25.67,25.96,25.56,25.61,44203810,25.93
114,25.51,25.72,25.51,25.61,50134730,25.98
115,25.48,25.7,25.39,25.43,51265910,26.33
116,25.53,25.79,25.46,25.6,36864360,26.85
117,25.43,25.95,25.42,25.91,55600780,26.79
118,25.9,25.9801,25.7199,25.93,52243780,26.86
119,25.825,26.1,25.49,25.98,37706270,27.18
120,25.99,26.5,25.98,26.33,74321630,26.9
121,26.49,26.94,26.49,26.85,125939200,26.66
122,26.74,27.04,26.67,26.79,49132560,26.95
123,26.74,26.94,26.72,26.86,43032370,27.2
124,27.01,27.23,26.99,27.18,71565870,27.44
125,27.24,27.25,26.85,26.9,58478990,27.4
126,26.83,26.85,26.48,26.66,47712240,27.35
127,26.81,27.19,26.79,26.95,67873570,27.36
128,26.91,27.32,26.88,27.2,54666820,27.37
129,27.18,27.47,27.12,27.44,66211240,27.94
130,27.47,27.52,27.26,27.4,44174510,27.92
131,27.35,27.42,27.21,27.35,34292400,27.87
132,27.32,27.49,27.15,27.36,52928740,27.72
133,27.37,27.48,27.21,27.37,39351970,27.69
134,27.39,27.96,27.37,27.94,82191190,27.54
135,27.925,28.11,27.78,27.92,81317160,28.22
136,27.76,28.0002,27.65,27.87,36445910,28.37
137,27.8,27.93,27.62,27.72,33365850,28.45
138,27.69,27.75,27.44,27.69,34597770,28.44
139,27.45,27.67,27.42,27.54,37222280,28.52
140,27.58,28.29,27.54,28.22,120113400,28.29
141,28.35,28.69,28.31,28.37,129746100,28.43
142,28.48,28.6,28.3299,28.45,49732960,28.45
143,28.24,28.51,28.17,28.44,40117800,28.28
144,28.5,28.7001,28.26,28.52,40495300,28.31
145,28.35,28.451,28.12,28.29,44731400,28.35
146,28.48,28.49,28.17,28.43,48887780,28.34
147,28.33,28.69,28.18,28.45,48438150,28.53
148,28.43,28.43,28.13,28.28,61242170,28.71
149,28.28,28.46,28.14,28.31,40487940,28.81
150,28.33,28.41,28.04,28.35,69610960,28.77
151,28.49,28.79,28.25,28.34,89021940,28.73
152,28.355,28.84,28.32,28.53,47293940,28.84
153,28.63,28.8501,28.56,28.71,61775620,28.95
154,28.78,28.99,28.7,28.81,75895990,28.98
155,28.68,28.86,28.58,28.77,58670540,29.26
156,28.86,28.93,28.61,28.73,41113450,29.24
157,28.765,29.05,28.76,28.84,60427540,29.35
158,28.855,29.0701,28.7999,28.95,56504450,29.2285
159,28.775,29.23,28.66,28.98,77373750,29.12
160,29.075,29.4,29,29.26,89407470,29.47
161,29.175,29.29,29.15,29.24,36928550,29.4
162,29.2,29.46,29.16,29.35,47269810,29.89
163,29.28,29.42,29.07,29.2285,63011830,29.92
164,29.125,29.3601,29.11,29.12,63707990,29.92
165,29.135,29.64,29.13,29.47,64324350,29.76
166,29.31,29.54,29.28,29.4,49236690,29.48
167,29.52,30,29.5,29.89,85702960,29.39
168,29.91,30.0001,29.79,29.92,66445710,29.57
169,29.975,30,29.82,29.92,43907210,29.36
170,29.66,29.84,29.64,29.76,20469690,29.12
171,29.68,29.74,29.33,29.48,72707250,29.33
172,29.34,29.42,29.13,29.39,52594300,29.13
173,29.44,29.78,29.43,29.57,58775010,28.99
174,29.42,29.57,29.3259,29.36,53193720,28.85
175,29.23,29.3,28.8999,29.12,72253490,29.4
176,29.225,29.52,29.17,29.33,55127950,29.54
177,29.36,29.4,29.03,29.13,45577180,29.43
178,29.095,29.13,28.87,28.99,48516150,29.55
179,28.96,29.07,28.81,28.85,46831180,30.07
180,28.82,29.4,28.8,29.4,108852300,30.19
181,29.185,29.75,29.11,29.54,107596800,29.89
182,29.52,29.63,29.22,29.43,68808970,29.99
183,29.6,29.6,29.32,29.55,45658920,30.09
184,29.545,30.0801,29.52,30.07,84192830,29.98
185,30.145,30.23,30.03,30.19,102714700,29.64
186,30.19,30.26,29.78,29.89,56905180,29.99
187,29.695,30.17,29.53,29.99,53672650,30.02
188,29.985,30.24,29.97,30.09,31421860,29.98
189,30.13,30.14,29.89,29.98,32147700,29.86
190,29.82,29.86,29.62,29.64,37971760,29.86
191,29.53,30,29.4,29.99,37094280,29.81
192,29.99,30.13,29.91,30.02,31246240,29.64
193,29.86,30.03,29.81,29.98,26690500,29.93
194,29.86,30.15,29.83,29.86,9999999,29.96
195,29.915,30.25,29.4,29.86,76901840,29.66
196,29.695,29.97,29.44,29.81,45705970,30.7
197,29.63,29.75,29.45,29.64,44517320,31.21
198,29.65,30.1,29.53,29.93,50148180,31.16
199,30,30.18,29.73,29.96,44622080,31.1
200,29.8,29.89,29.43,29.66,55013970,31
201,29.755,30.75,29.6499,30.7,99329240,31.11
202,30.65,31.39,30.64,31.21,103960300,30.72
203,31.26,31.45,31.03,31.16,62276310,30.74
204,31.26,31.44,31.01,31.1,58495680,31.09
205,31.14,31.37,30.8,31,56006360,30.45
206,30.72,31.11,30.69,31.11,75816290,30.6
207,31.065,31.12,30.51,30.72,55139630,30.53
208,30.63,30.96,30.52,30.74,49167220,30.48
209,30.78,31.3,30.65,31.09,58509450,30.86
210,31.085,31.48,30.45,30.45,95942730,30.56
211,31.225,31.23,30.6,30.6,96082540,30.19
212,30.675,30.78,30.34,30.53,57603620,29.61
213,30.57,30.64,30.14,30.48,61883740,29.51
214,30.42,31.1,30.35,30.86,73881200,29.37
215,30.84,30.94,30.37,30.56,53768940,29.26
216,30.825,30.84,30.13,30.19,60400210,28.98
