,openPrice,highestPrice,lowestPrice,closePrice,turnoverRate,label
0,50,50.97,45.8,46.79,0.3439,45.92
1,47,47.44,45.88,46.41,0.0739,45.53
2,45.98,46.17,43.53,44.38,0.0729,44.71
3,44,46,43.75,45.25,0.0518,44.89
4,45.29,46.9,44.91,46.48,0.05,44.94
5,46.1,46.33,45.68,45.92,0.0228,44.96
6,45.9,46.1,44.7,45.53,0.028,45.21
7,45.3,45.3,44.5,44.71,0.0253,45.78
8,44.81,45.26,44.62,44.89,0.0178,45.1
9,44.3,45.1,43.79,44.94,0.0301,45.36
10,45.52,46.49,44.8,44.96,0.0265,45.16
11,44.99,45.95,44.4,45.21,0.0396,45.94
12,46.8,46.92,45.5,45.78,0.0386,45.91
13,45.8,46,44.9,45.1,0.0238,46.58
14,45.45,45.92,45.23,45.36,0.0291,47.4
15,45.34,45.53,44.71,45.16,0.0243,47.05
16,45.2,46.2,45.18,45.94,0.0388,48.39
17,45.79,46.36,45.63,45.91,0.0242,48.21
18,45.9,46.9,45.58,46.58,0.0449,47.79
19,46.81,48.79,46.48,47.4,0.0803,47.92
20,46.96,47.87,46.72,47.05,0.0252,48.01
21,47.05,48.7,47.05,48.39,0.0403,51.61
22,48.42,48.76,47.9,48.21,0.0231,52.82
23,48.22,48.5,47.55,47.79,0.0213,53.54
24,47.8,48,47.2,47.92,0.0214,53.44
25,47.68,48.95,47.5,48.01,0.0339,55.03
26,48.09,51.89,47.7,51.61,0.0805,56.42
27,51,53.68,51,52.82,0.0709,55.15
28,52.88,55.18,52.6,53.54,0.0423,53.91
29,53.98,58,52.95,53.44,0.0277,51.98
30,54.1,56.44,54,55.03,0.0464,55.34
31,55.66,56.55,55.66,56.42,0.0256,56.98
32,56.45,57.02,53.6,55.15,0.0343,55.82
33,54.98,55.09,53.4,53.91,0.0227,56.71
34,53.5,54.3,50.21,51.98,0.0358,58.51
35,52.66,56.4,52.37,55.34,0.0323,63.6
36,55.37,57.57,54.88,56.98,0.0256,65.85
37,57.99,58.01,55.75,55.82,0.0279,65.72
38,55.12,57.7,54.91,56.71,0.0254,65.72
39,56.58,58.68,56.58,58.51,0.0322,64.48
40,58.55,64.36,58.3,63.6,0.0678,62.81
41,63.2,67.83,62.38,65.85,0.0355,64.01
42,67.8,67.98,65,65.72,0.023,61.53
43,64.5,66.8,63,65.72,0.0194,62.33
44,65.76,66,64.3,64.48,0.0149,62.85
45,63.5,63.9,61.15,62.81,0.0279,62.2
46,61.8,66.69,60,64.01,0.0299,63.46
47,64.4,64.49,61.45,61.53,0.0194,64
48,61.5,62.98,60.7,62.33,0.0172,64.21
49,62.33,63.78,62,62.85,0.0147,62.42
50,62.49,62.84,61.01,62.2,0.0194,61.92
51,60.91,64.59,60.8,63.46,0.0294,64.48
52,63.5,65.64,63.46,64,0.0216,64.98
53,64.13,65,63.6,64.21,0.0133,58.97
54,64,65,61.4,62.42,0.0199,60.94
55,61.98,63.16,61.61,61.92,0.0149,60.55
56,62.08,64.6,62.01,64.48,0.0275,57.01
57,64.5,65.5,64.2,64.98,0.0169,56.99
58,61.3,64.38,58.51,58.97,0.0354,57.7
59,60,62.5,58.55,60.94,0.0248,59.18
60,60.09,62.5,59.58,60.55,0.0478,62.53
61,60.55,61.02,55.8,57.01,0.0273,64.4
62,56.6,58.6,53.88,56.99,0.025,63.67
63,57.25,59.08,56.51,57.7,0.0179,64.43
64,59.51,60.15,57.73,59.18,0.0209,65.38
65,59.02,62.97,59.02,62.53,0.0228,71.92
66,62.8,65.28,62.68,64.4,0.0241,71.17
67,64.5,65.58,62.97,63.67,0.0188,70.66
68,64.3,66.1,63.6,64.43,0.0143,73.91
69,64.4,65.87,64.06,65.38,0.0117,74.79
70,66.75,71.92,66.52,71.92,0.0255,74.26
71,72,73.8,70.5,71.17,0.0179,73.19
72,71,73.9,70.58,70.66,0.0167,76.18
73,70.5,77.49,70.5,73.91,0.0246,73.1
74,73.78,76.54,73,74.79,0.0175,71.51
75,75.5,77.55,72.77,74.26,0.0232,69.68
76,72.8,74.18,71.6,73.19,0.0207,71.88
77,73.22,77.2,73.22,76.18,0.0135,70.3
78,76.33,76.49,73.02,73.1,0.011,70.13
79,71.5,73,71.2,71.51,0.0117,72.82
80,71,71.6,68.4,69.68,0.0087,75.35
81,69.81,72.55,69.81,71.88,0.0057,77.32
82,71.6,72.5,70,70.3,0.0056,76.93
83,70,73,69.32,70.13,0.0082,79.9
84,70.02,72.85,69.85,72.82,0.0082,79.52
85,73.48,75.98,72.88,75.35,0.0071,82.19
86,75.98,78.2,75.4,77.32,0.0108,81.97
87,77.17,77.17,75.4,76.93,0.0042,81.7
88,77.06,81.34,76.08,79.9,0.0084,79
89,80.4,81.68,78.5,79.52,0.0055,84.17
90,79.81,84.67,79.81,82.19,0.0122,83.46
91,82.2,82.2,78.53,81.97,0.0164,82.52
92,81,84.41,80.52,81.7,0.0134,82.22
93,81.39,81.39,78.71,79,0.0138,81.02
94,79.8,85.55,79.6,84.17,0.0158,80.1
95,84.3,84.71,81.66,83.46,0.0319,81.33
96,83.7,84,81.35,82.52,0.0293,83.5
97,82.52,82.52,79.9,82.22,0.0264,80.13
98,82.38,82.6,80.2,81.02,0.0187,81.82
99,80.45,81.4,79,80.1,0.0162,88.79
100,80.12,81.86,80.11,81.33,0.0178,90.26
101,81.33,83.76,79.6,83.5,0.0213,88.68
102,84.7,84.7,79.98,80.13,0.0205,88.4
103,81.4,83.2,80.1,81.82,0.014,94.95
104,82.1,89.99,82.1,88.79,0.0319,95.39
105,89,92.1,87,90.26,0.0237,94.48
106,90.2,90.9,88.2,88.68,0.0154,97.98
107,87.95,89.88,87,88.4,0.0122,97.99
108,89,97.02,88.68,94.95,0.0218,93.16
109,93.5,97.99,92.05,95.39,0.0153,89.17
110,95.2,97.36,92.8,94.48,0.0138,92.53
111,94.51,98.31,94.5,97.98,0.0125,92.85
112,97.98,99.49,95.1,97.99,0.0112,92.86
113,96.99,97.97,91.51,93.16,0.0198,93.36
114,96,96,88.75,89.17,0.0211,97.7
115,92.3,94.19,91.2,92.53,0.0153,99.27
116,92.52,94.3,91.98,92.85,0.0144,103.44
117,92,94.35,91.32,92.86,0.0135,99.12
118,93.24,94.35,91.7,93.36,0.0151,100.9
119,94,99.34,94,97.7,0.0147,102.1
120,98.7,101.66,98.7,99.27,0.0187,103.07
121,99.23,106.08,97.7,103.44,0.0208,99.64
122,100.8,103,99,99.12,0.0136,98.11
123,100.05,101.9,99.2,100.9,0.012,99.98
124,100.88,103.3,99.81,102.1,0.0099,96.79
125,102.55,105.67,102.53,103.07,0.0104,97.98
126,102.98,104,99.55,99.64,0.011,96.27
127,99.1,101.4,96.8,98.11,0.0076,100.24
128,98.5,100.51,97.52,99.98,0.0127,103.33
129,99.4,101,96.66,96.79,0.0145,105.17
130,95.99,98.6,95.01,97.98,0.0099,107.46
131,97.1,100.9,95.5,96.27,0.0146,104.82
132,97,100.4,97,100.24,0.0133,112.97
133,101.88,104.6,101.1,103.33,0.0136,118.24
134,103.8,105.6,102.6,105.17,0.0116,119.52
135,105.3,109.9,105.3,107.46,0.0167,121.93
136,107.5,108.08,104.18,104.82,0.0082,129.45
137,106.8,114.08,106.68,112.97,0.023,125.96
138,112.1,121.99,112.01,118.24,0.0147,131.5
139,117.78,120.99,116.86,119.52,0.0083,134.95
140,118.55,123.88,117,121.93,0.0093,141.39
141,124,133.8,123.98,129.45,0.0121,143.96
142,130.02,134.38,125,125.96,0.0096,141
143,126.1,131.8,120.18,131.5,0.0071,144.13
144,136.5,137,133,134.95,0.0088,140.72
145,137,145.78,135.4,141.39,0.0113,138
146,141,145.5,139,143.96,0.0082,137
147,144.6,145.38,140.1,141,0.01,136.47
148,141,145.8,138,144.13,0.012,136.24
149,144.2,144.2,136.5,140.72,0.0125,134.9
150,140.1,141.7,136.5,138,0.0133,138.93
151,138,141.39,136.5,137,0.0094,141.7
152,137,139.3,135.98,136.47,0.0075,144.99
153,139,141.6,135,136.24,0.0098,140
154,138.8,138.9,133,134.9,0.0083,140.39
155,132.5,139.39,131.5,138.93,0.0109,140.58
156,138.92,141.73,138,141.7,0.0095,141.15
157,143.04,149.28,142,144.99,0.0114,139.86
158,145,149,138,140,0.0118,136.99
159,137,142.5,137,140.39,0.0058,131.69
160,139.5,145,137.05,140.58,0.0113,126.97
161,140.6,142.89,137.9,141.15,0.0077,126.79
162,143.2,144.6,139.5,139.86,0.0088,123.96
163,140.9,141.8,136.66,136.99,0.0095,118.18
164,135.5,136.5,131.3,131.69,0.0118,118.81
165,130.6,132.63,125.5,126.97,0.0109,117.21
166,126.98,128.88,125.01,126.79,0.0061,115.18
167,128,128.5,120.28,123.96,0.0077,124.02
168,124,124,117.66,118.18,0.0111,123.73
169,117.8,121.02,117.4,118.81,0.0104,122.02
170,116,120,114,117.21,0.0087,118.18
171,119.3,121.9,112.35,115.18,0.0112,118.32
172,118.6,124.14,116.01,124.02,0.013,115.91
173,122,127.68,121.88,123.73,0.0107,106.89
174,122,124.98,119.6,122.02,0.0067,108.59
175,122,122.8,117.38,118.18,0.0061,105.94
176,117,118.97,113.88,118.32,0.0093,100.98
177,118.3,119.37,115.8,115.91,0.0037,102.35
178,113,114.5,105,106.89,0.0105,109.98
179,105,108.98,104.95,108.59,0.0069,108.73
180,111.2,112.01,105.18,105.94,0.005,113.52
181,105.66,106.5,100.8,100.98,0.0083,116.83
182,101.15,104.3,100.91,102.35,0.0062,119.06
183,104.45,110.4,103.4,109.98,0.0123,118.95
184,110,110.99,107.1,108.73,0.0082,119.95
185,108.9,113.6,107.5,113.52,0.0081,121.01
186,113.1,120.2,113,116.83,0.0098,117.36
187,116.5,120.13,116.2,119.06,0.0054,111.11
188,119.12,120,118,118.95,0.0056,107.03
189,118,122.18,118,119.95,0.0032,108.48
190,118.2,121.4,117.1,121.01,0.0083,101.17
191,121.05,121.4,114.5,117.36,0.013,101.95
192,116,116,110.83,111.11,0.0217,104.33
193,109.77,112.5,106.85,107.03,0.0105,105.38
194,106,109.08,104.84,108.48,0.0117,108.2
195,108.39,108.4,101.1,101.17,0.018,110.73
196,99.8,103.92,99.5,101.95,0.0107,107.72
197,103.95,105.54,102,104.33,0.006,105.59
198,105.15,106.47,102.98,105.38,0.0067,108.24
199,105.4,109.9,105.4,108.2,0.0086,106.1
200,109.8,112.3,107.72,110.73,0.0133,102.99
201,110.88,111.01,106.3,107.72,0.0141,101.83
202,107.69,108.5,103.03,105.59,0.0161,104.22
203,105.59,108.5,101.96,108.24,0.0229,102.39
204,107.94,107.99,104.8,106.1,0.0181,106.09
205,105.8,105.8,102.72,102.99,0.0249,106.21
206,102.57,102.7,99.38,101.83,0.0472,107.08
207,101.63,104.49,100,104.22,0.0225,109.69
208,103.5,103.5,100.04,102.39,0.0279,109.44
209,102.8,107.34,102.8,106.09,0.0403,105.04
210,105.5,107.1,104.8,106.21,0.0191,100.71
211,106.5,107.5,103.68,107.08,0.0298,99.58
212,107.52,110.56,107.52,109.69,0.0336,98.21
213,110.54,112.9,109,109.44,0.0192,88.39
214,109.5,109.88,104,105.04,0.0413,79.55
215,103,103.48,100.15,100.71,0.0337,80.47
216,100,101.5,96.8,99.58,0.0277,79.93
217,99.55,99.98,96.69,98.21,0.0266,80.59
218,98.21,98.21,88.39,88.39,0.0412,72.53
219,84,84,79.55,79.55,0.0409,72.48
220,78.01,82,76.54,80.47,0.0429,71.1
221,82.01,82.2,76.8,79.93,0.0296,71.81
222,79.58,81.9,77.9,80.59,0.0319,73.99
223,79,79.5,72.53,72.53,0.0298,79.16
224,75,75.92,70.95,72.48,0.0187,77.44
225,73.99,74.88,68.98,71.1,0.0272,71.92
226,70.77,73.05,70.2,71.81,0.013,74.4
227,72.39,74.75,71.32,73.99,0.0266,75.96
228,75.95,79.82,75.9,79.16,0.0317,77.5
229,78.88,78.89,76.6,77.44,0.0151,76.88
230,74,74.5,71.5,71.92,0.0178,74.44
231,72.8,74.8,72.44,74.4,0.0132,72.52
232,73.5,76,72.8,75.96,0.013,69.42
233,76.85,78.1,76.28,77.5,0.0139,65.38
234,77.39,77.39,74.5,76.88,0.019,68.04
235,76.75,76.75,73.98,74.44,0.0133,71.82
236,73.95,73.95,70.96,72.52,0.016,70
237,71.15,71.55,69,69.42,0.0154,71.2
238,69.55,70.29,65.01,65.38,0.0153,70.11
239,69.4,70.13,66,68.04,0.0209,67.1
240,68.85,72.5,68,71.82,0.0248,72.38
241,71,71.63,69.69,70,0.014,67.66
242,70.01,72.5,69.36,71.2,0.0153,64.5
243,70.6,71.74,67.97,70.11,0.0081,63.85
244,69.99,70.11,66.99,67.1,0.007,63.81
245,69.98,73.81,67.4,72.38,0.0151,63.39
246,70.4,70.4,66.2,67.66,0.0146,63.05
247,66.66,66.8,64.26,64.5,0.0069,59.82
248,64.08,64.84,62.49,63.85,0.0053,56.41
249,66.18,66.47,62.7,63.81,0.007,56.94
250,63.5,63.55,61.85,63.39,0.0062,55.95
251,63.27,63.49,61.35,63.05,0.0051,56.06
252,62,62.1,59.5,59.82,0.0058,50.56
253,59.78,60.75,55.38,56.41,0.0076,51.08
254,58.26,58.26,55.8,56.94,0.0138,52.19
255,52,57.4,51.25,55.95,0.0107,48.99
256,56.4,57.89,54.98,56.06,0.0085,53.14
257,56.43,56.65,50.45,50.56,0.013,52.91
258,49,52.7,48.3,51.08,0.013,53.35
259,51.31,53.5,50.5,52.19,0.0101,56.85
260,50.38,51.8,48.79,48.99,0.0069,59.04
261,49.42,53.47,48.69,53.14,0.0172,62.2
262,51.48,54.27,51.1,52.91,0.0114,61.45
263,52.5,54.2,51.11,53.35,0.0109,57.12
264,54.75,58.68,54.1,56.85,0.0207,58.38
265,55.6,59.2,55.2,59.04,0.0101,58.75
266,59.89,62.8,59.04,62.2,0.0134,54.89
267,61.68,62.3,59.76,61.45,0.0095,55.96
268,60,60.7,56.89,57.12,0.0077,54.34
269,56.72,58.48,55.08,58.38,0.0064,56.31
270,59,59.8,57.58,58.75,0.0042,55.25
271,56.89,57.28,54.2,54.89,0.01,57
272,54.82,56.6,51.8,55.96,0.0069,58.13
273,55.3,56.29,54.2,54.34,0.0031,60.71
274,54.5,57.38,54.5,56.31,0.0095,66.78
275,55,57,54.23,55.25,0.0092,67.02
276,60.69,60.69,55.6,57,0.0148,64.7
277,56.05,58.5,53.92,58.13,0.0061,65.05
278,57.8,61,57.01,60.71,0.0112,69
279,66.5,66.78,64.96,66.78,0.0243,68.61
280,67,69.79,66.5,67.02,0.0192,67.53
281,64.5,66,63.92,64.7,0.0078,62.08
282,64.2,65.53,63.95,65.05,0.0056,62.68
283,67,69.79,66.35,69,0.016,64.08
284,70,70.5,67.7,68.61,0.0091,62.82
285,68,68.3,67,67.53,0.0055,62.9
286,67.53,68,61.96,62.08,0.0145,61.7
287,61.39,63.27,60.51,62.68,0.0072,61.54
288,65.8,66.66,62.84,64.08,0.0102,60.22
289,62.1,64.3,60.88,62.82,0.0057,57.04
290,60.35,62.96,60.35,62.9,0.0105,57.97
291,63.29,64,61.5,61.7,0.005,55.98
292,62,63.2,60.68,61.54,0.0036,55.79
293,61.58,61.84,59.3,60.22,0.0035,52.88
294,60.22,61.3,56.9,57.04,0.0052,54.04
295,56.98,58.02,55.36,57.97,0.0056,55.8
296,57.29,57.29,55.75,55.98,0.0033,53.91
297,55.8,56.98,55.27,55.79,0.0024,56.3
298,55,55,52.8,52.88,0.0045,56.89
299,53.01,54.1,52.12,54.04,0.0034,55.71
300,54.3,56.66,53.55,55.8,0.0048,54.31
301,55.7,55.9,53.85,53.91,0.0028,54.52
302,54.51,56.39,54.5,56.3,0.0053,54.56
303,55.9,57.51,55.02,56.89,0.004,50.13
304,56.45,57.14,55.4,55.71,0.0029,50.39
305,55.46,55.98,53.86,54.31,0.0032,49.39
306,54.01,55.08,53.89,54.52,0.0019,49.05
307,54.85,55.68,54.02,54.56,0.0019,49.94
308,51.5,52.47,49.5,50.13,0.0062,49.13
309,49.85,51.15,49.51,50.39,0.0034,51.07
310,50,50.15,48.31,49.39,0.0042,47.89
311,49.4,50.2,48.8,49.05,0.0024,50.36
312,49.28,50.22,48.36,49.94,0.0045,48.68
313,49.98,50.29,48.6,49.13,0.0031,49.67
314,48.88,51.5,47.5,51.07,0.008,50.98
315,50.58,50.6,47.6,47.89,0.0052,51.68
316,47.95,52.1,47.04,50.36,0.0091,49.04
317,49.3,50.11,48.5,48.68,0.0035,49.26
318,48.8,50.48,48.6,49.67,0.005,47.82
