secShortName,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverRate,label,,,,,
pingan,50,50.97,45.8,46.79,197763344,0.3439,46.1,46.33,45.68,45.92,13098383,0.0228
pingan,47,47.44,45.88,46.41,42504832,0.0739,45.9,46.1,44.7,45.53,16088779,0.028
pingan,45.98,46.17,43.53,44.38,41919672,0.0729,45.3,45.3,44.5,44.71,14535306,0.0253
pingan,44,46,43.75,45.25,29772788,0.0518,44.81,45.26,44.62,44.89,10231968,0.0178
pingan,45.29,46.9,44.91,46.48,28746378,0.05,44.3,45.1,43.79,44.94,17330656,0.0301
pingan,46.1,46.33,45.68,45.92,13098383,0.0228,45.52,46.49,44.8,44.96,15252190,0.0265
pingan,45.9,46.1,44.7,45.53,16088779,0.028,44.99,45.95,44.4,45.21,22754724,0.0396
pingan,45.3,45.3,44.5,44.71,14535306,0.0253,46.8,46.92,45.5,45.78,22202688,0.0386
pingan,44.81,45.26,44.62,44.89,10231968,0.0178,45.8,46,44.9,45.1,13672832,0.0238
pingan,44.3,45.1,43.79,44.94,17330656,0.0301,45.45,45.92,45.23,45.36,16750984,0.0291
pingan,45.52,46.49,44.8,44.96,15252190,0.0265,45.34,45.53,44.71,45.16,13981014,0.0243
pingan,44.99,45.95,44.4,45.21,22754724,0.0396,45.2,46.2,45.18,45.94,22326680,0.0388
pingan,46.8,46.92,45.5,45.78,22202688,0.0386,45.79,46.36,45.63,45.91,13933819,0.0242
pingan,45.8,46,44.9,45.1,13672832,0.0238,45.9,46.9,45.58,46.58,25826368,0.0449
pingan,45.45,45.92,45.23,45.36,16750984,0.0291,46.81,48.79,46.48,47.4,46198616,0.0803
pingan,45.34,45.53,44.71,45.16,13981014,0.0243,46.96,47.87,46.72,47.05,14461720,0.0252
pingan,45.2,46.2,45.18,45.94,22326680,0.0388,47.05,48.7,47.05,48.39,23144504,0.0403
pingan,45.79,46.36,45.63,45.91,13933819,0.0242,48.42,48.76,47.9,48.21,13271204,0.0231
pingan,45.9,46.9,45.58,46.58,25826368,0.0449,48.22,48.5,47.55,47.79,12245469,0.0213
pingan,46.81,48.79,46.48,47.4,46198616,0.0803,47.8,48,47.2,47.92,12286538,0.0214
pingan,46.96,47.87,46.72,47.05,14461720,0.0252,47.68,48.95,47.5,48.01,19520852,0.0339
pingan,47.05,48.7,47.05,48.39,23144504,0.0403,48.09,51.89,47.7,51.61,46277020,0.0805
pingan,48.42,48.76,47.9,48.21,13271204,0.0231,51,53.68,51,52.82,40782392,0.0709
pingan,48.22,48.5,47.55,47.79,12245469,0.0213,52.88,55.18,52.6,53.54,24344650,0.0423
pingan,47.8,48,47.2,47.92,12286538,0.0214,53.98,58,52.95,53.44,15927043,0.0277
pingan,47.68,48.95,47.5,48.01,19520852,0.0339,54.1,56.44,54,55.03,26668944,0.0464
pingan,48.09,51.89,47.7,51.61,46277020,0.0805,55.66,56.55,55.66,56.42,14697227,0.0256
pingan,51,53.68,51,52.82,40782392,0.0709,56.45,57.02,53.6,55.15,19724388,0.0343
pingan,52.88,55.18,52.6,53.54,24344650,0.0423,54.98,55.09,53.4,53.91,13032235,0.0227
pingan,53.98,58,52.95,53.44,15927043,0.0277,53.5,54.3,50.21,51.98,20558670,0.0358
pingan,54.1,56.44,54,55.03,26668944,0.0464,52.66,56.4,52.37,55.34,18569028,0.0323
pingan,55.66,56.55,55.66,56.42,14697227,0.0256,55.37,57.57,54.88,56.98,14693459,0.0256
pingan,56.45,57.02,53.6,55.15,19724388,0.0343,57.99,58.01,55.75,55.82,16047287,0.0279
pingan,54.98,55.09,53.4,53.91,13032235,0.0227,55.12,57.7,54.91,56.71,14593847,0.0254
pingan,53.5,54.3,50.21,51.98,20558670,0.0358,56.58,58.68,56.58,58.51,18496132,0.0322
pingan,52.66,56.4,52.37,55.34,18569028,0.0323,58.55,64.36,58.3,63.6,38983864,0.0678
pingan,55.37,57.57,54.88,56.98,14693459,0.0256,63.2,67.83,62.38,65.85,20419044,0.0355
pingan,57.99,58.01,55.75,55.82,16047287,0.0279,67.8,67.98,65,65.72,13232558,0.023
pingan,55.12,57.7,54.91,56.71,14593847,0.0254,64.5,66.8,63,65.72,11181270,0.0194
pingan,56.58,58.68,56.58,58.51,18496132,0.0322,65.76,66,64.3,64.48,8584459,0.0149
pingan,58.55,64.36,58.3,63.6,38983864,0.0678,63.5,63.9,61.15,62.81,16059298,0.0279
pingan,63.2,67.83,62.38,65.85,20419044,0.0355,61.8,66.69,60,64.01,17174388,0.0299
pingan,67.8,67.98,65,65.72,13232558,0.023,64.4,64.49,61.45,61.53,11153398,0.0194
pingan,64.5,66.8,63,65.72,11181270,0.0194,61.5,62.98,60.7,62.33,9884150,0.0172
pingan,65.76,66,64.3,64.48,8584459,0.0149,62.33,63.78,62,62.85,8432798,0.0147
pingan,63.5,63.9,61.15,62.81,16059298,0.0279,62.49,62.84,61.01,62.2,11177295,0.0194
pingan,61.8,66.69,60,64.01,17174388,0.0299,60.91,64.59,60.8,63.46,16888872,0.0294
pingan,64.4,64.49,61.45,61.53,11153398,0.0194,63.5,65.64,63.46,64,12437670,0.0216
pingan,61.5,62.98,60.7,62.33,9884150,0.0172,64.13,65,63.6,64.21,7632081,0.0133
pingan,62.33,63.78,62,62.85,8432798,0.0147,64,65,61.4,62.42,11420175,0.0199
pingan,62.49,62.84,61.01,62.2,11177295,0.0194,61.98,63.16,61.61,61.92,8575450,0.0149
pingan,60.91,64.59,60.8,63.46,16888872,0.0294,62.08,64.6,62.01,64.48,15834501,0.0275
pingan,63.5,65.64,63.46,64,12437670,0.0216,64.5,65.5,64.2,64.98,9701795,0.0169
pingan,64.13,65,63.6,64.21,7632081,0.0133,61.3,64.38,58.51,58.97,20331650,0.0354
pingan,64,65,61.4,62.42,11420175,0.0199,60,62.5,58.55,60.94,14241313,0.0248
pingan,61.98,63.16,61.61,61.92,8575450,0.0149,60.09,62.5,59.58,60.55,38448660,0.0478
pingan,62.08,64.6,62.01,64.48,15834501,0.0275,60.55,61.02,55.8,57.01,21969818,0.0273
pingan,64.5,65.5,64.2,64.98,9701795,0.0169,56.6,58.6,53.88,56.99,20158374,0.025
pingan,61.3,64.38,58.51,58.97,20331650,0.0354,57.25,59.08,56.51,57.7,14422252,0.0179
pingan,60,62.5,58.55,60.94,14241313,0.0248,59.51,60.15,57.73,59.18,16792394,0.0209
pingan,60.09,62.5,59.58,60.55,38448660,0.0478,59.02,62.97,59.02,62.53,18339016,0.0228
pingan,60.55,61.02,55.8,57.01,21969818,0.0273,62.8,65.28,62.68,64.4,19390832,0.0241
pingan,56.6,58.6,53.88,56.99,20158374,0.025,64.5,65.58,62.97,63.67,15136874,0.0188
pingan,57.25,59.08,56.51,57.7,14422252,0.0179,64.3,66.1,63.6,64.43,11515221,0.0143
pingan,59.51,60.15,57.73,59.18,16792394,0.0209,64.4,65.87,64.06,65.38,9382519,0.0117
pingan,59.02,62.97,59.02,62.53,18339016,0.0228,66.75,71.92,66.52,71.92,20530172,0.0255
pingan,62.8,65.28,62.68,64.4,19390832,0.0241,72,73.8,70.5,71.17,14418695,0.0179
pingan,64.5,65.58,62.97,63.67,15136874,0.0188,71,73.9,70.58,70.66,13455449,0.0167
pingan,64.3,66.1,63.6,64.43,11515221,0.0143,70.5,77.49,70.5,73.91,19822856,0.0246
pingan,64.4,65.87,64.06,65.38,9382519,0.0117,73.78,76.54,73,74.79,14062857,0.0175
